pop	fsc_small	fsc_perp	fsc_big	pe	chl_small	chl_big	point_order	gating_id
beads				246.6284934087793	4.336935076137341		1	0855ff51-cefd-4fe2-b678-9af30a80e08d
beads				134.0305302727458	5.720392036533032		2	0855ff51-cefd-4fe2-b678-9af30a80e08d
beads				116.5726620060999	12.90163291952708		3	0855ff51-cefd-4fe2-b678-9af30a80e08d
beads				273.5457291968363	23.023579376739256		4	0855ff51-cefd-4fe2-b678-9af30a80e08d
beads				592.3616066402384	22.118260379203107		5	0855ff51-cefd-4fe2-b678-9af30a80e08d
croco				322.29825000793386	1415.9072205610478		1	0855ff51-cefd-4fe2-b678-9af30a80e08d
croco				118.61240882939444	558.9155928298042		2	0855ff51-cefd-4fe2-b678-9af30a80e08d
croco				50.339527721790375	480.9950636000551		3	0855ff51-cefd-4fe2-b678-9af30a80e08d
croco				49.06397559728715	943.8162960593935		4	0855ff51-cefd-4fe2-b678-9af30a80e08d
croco				56.803851461950515	1399.0935323353137		5	0855ff51-cefd-4fe2-b678-9af30a80e08d
croco				77.61983908568502	1990.2997060348187		6	0855ff51-cefd-4fe2-b678-9af30a80e08d
croco				166.62203132997865	2196.3767914255313		7	0855ff51-cefd-4fe2-b678-9af30a80e08d
croco				212.16482204318632	2119.786462590679		8	0855ff51-cefd-4fe2-b678-9af30a80e08d
picoeuk	467.5979081894378				2904.0840437633337		1	0855ff51-cefd-4fe2-b678-9af30a80e08d
picoeuk	72.97968739670384				2546.742017638468		2	0855ff51-cefd-4fe2-b678-9af30a80e08d
picoeuk	29.19166458727934				183.80357003413488		3	0855ff51-cefd-4fe2-b678-9af30a80e08d
picoeuk	22.64082148667622				27.20441768543169		4	0855ff51-cefd-4fe2-b678-9af30a80e08d
picoeuk	48.9662834047293				12.261737452129056		5	0855ff51-cefd-4fe2-b678-9af30a80e08d
picoeuk	150.75808794483285				10.324159860342743		6	0855ff51-cefd-4fe2-b678-9af30a80e08d
picoeuk	270.4766748123858				234.81359282739723		7	0855ff51-cefd-4fe2-b678-9af30a80e08d
picoeuk	415.77297459001335				1416.4731350828986		8	0855ff51-cefd-4fe2-b678-9af30a80e08d
prochloro	6.912903275361756				4.6396411192701255		1	0855ff51-cefd-4fe2-b678-9af30a80e08d
prochloro	4.800535892121128				2.456627870346626		2	0855ff51-cefd-4fe2-b678-9af30a80e08d
prochloro	10.865132120161164				1.8553362319620326		3	0855ff51-cefd-4fe2-b678-9af30a80e08d
prochloro	12.441353131009818				4.286870097944076		4	0855ff51-cefd-4fe2-b678-9af30a80e08d
prochloro	11.718401938465009				5.490539482718405		5	0855ff51-cefd-4fe2-b678-9af30a80e08d
synecho	14.023241632503261			11.339990532469495			1	0855ff51-cefd-4fe2-b678-9af30a80e08d
synecho	8.516790389966642			8.519199797150732			2	0855ff51-cefd-4fe2-b678-9af30a80e08d
synecho	7.335670050110431			5.106834024157785			3	0855ff51-cefd-4fe2-b678-9af30a80e08d
synecho	7.487373966489786			3.4374975168807396			4	0855ff51-cefd-4fe2-b678-9af30a80e08d
synecho	8.101726369737312			2.7373165723708395			5	0855ff51-cefd-4fe2-b678-9af30a80e08d
synecho	10.283926646790594			2.2346637374663287			6	0855ff51-cefd-4fe2-b678-9af30a80e08d
synecho	13.104377594638716			2.3054175155625374			7	0855ff51-cefd-4fe2-b678-9af30a80e08d
synecho	14.860499905611356			5.253558870694173			8	0855ff51-cefd-4fe2-b678-9af30a80e08d
beads				824.7785321840654	11.683547141901126		1	090dbf24-4e2f-41b1-a7ce-eee4f205a69d
beads				316.5328764666617	5.100264763700558		2	090dbf24-4e2f-41b1-a7ce-eee4f205a69d
beads				128.98801723169453	3.2257949742454355		3	090dbf24-4e2f-41b1-a7ce-eee4f205a69d
beads				51.40774887665099	3.1794391779709668		4	090dbf24-4e2f-41b1-a7ce-eee4f205a69d
beads				38.78709795061968	4.637377109627587		5	090dbf24-4e2f-41b1-a7ce-eee4f205a69d
beads				46.03381100560526	7.832255713357737		6	090dbf24-4e2f-41b1-a7ce-eee4f205a69d
beads				93.04054870570265	22.421171274055986		7	090dbf24-4e2f-41b1-a7ce-eee4f205a69d
beads				282.08566209801853	100.50542084381088		8	090dbf24-4e2f-41b1-a7ce-eee4f205a69d
beads				995.3758362166936	288.26401753258915		9	090dbf24-4e2f-41b1-a7ce-eee4f205a69d
