start_date	gating_id
2018-12-11T02:11:04+00:00	c4d46bb0-923d-4f75-a37c-55bc65a77974
2018-12-11T03:07:00+00:00	41f39c75-eeb4-444f-93c3-b1bea43edb01
2018-12-11T04:01:05+00:00	c4d46bb0-923d-4f75-a37c-55bc65a77974
2018-12-11T05:01:09+00:00	1d6d68e1-7014-48ac-b34a-b5f2d57ae50f
2018-12-11T08:01:24+00:00	cd464b4e-dff3-41f9-9fdc-e62b87197aff
2018-12-11T11:01:39+00:00	e4a2473f-7067-48ee-a8a3-101fda9abe56
2018-12-11T12:01:44+00:00	cd464b4e-dff3-41f9-9fdc-e62b87197aff
2018-12-11T21:00:08+00:00	1d6d68e1-7014-48ac-b34a-b5f2d57ae50f
2018-12-12T00:00:02+00:00	c4d46bb0-923d-4f75-a37c-55bc65a77974
2018-12-12T05:01:31+00:00	41f39c75-eeb4-444f-93c3-b1bea43edb01
2018-12-12T06:01:36+00:00	c4d46bb0-923d-4f75-a37c-55bc65a77974
2018-12-12T07:01:41+00:00	1d6d68e1-7014-48ac-b34a-b5f2d57ae50f
2018-12-12T08:02:24+00:00	b7f5b4d9-0344-4bed-936d-2fee2935d1de
2018-12-12T13:00:29+00:00	cd464b4e-dff3-41f9-9fdc-e62b87197aff
