start_date	gating_id
2018-07-07T23-30-25	6b77e901-1462-4cbb-9352-84443680bdcd
2018-07-08T00-00-02	a8077f71-2dc7-4cef-b485-5c3ee5810eb0
2018-07-08T01-00-06	6b77e901-1462-4cbb-9352-84443680bdcd
2018-07-08T02-00-57	53cc911c-d4ae-4c03-adac-523f0a8ea921
2018-07-08T03-01-02	6b77e901-1462-4cbb-9352-84443680bdcd
2018-07-08T08-01-26	182c78ee-3d58-4e69-8c81-d25c3b9379dc
2018-07-08T11-01-40	3e353035-1c39-4d79-9c4b-b7d0b071a10c
2018-07-08T18-02-13	182c78ee-3d58-4e69-8c81-d25c3b9379dc
2018-07-08T21-02-27	a8077f71-2dc7-4cef-b485-5c3ee5810eb0
2018-07-09T02-00-10	6b77e901-1462-4cbb-9352-84443680bdcd
2018-07-09T03-00-14	b97f76d0-3449-4da2-a377-7ef4a6e42f1e
2018-07-09T05-01-29	6b77e901-1462-4cbb-9352-84443680bdcd
2018-07-09T09-01-48	182c78ee-3d58-4e69-8c81-d25c3b9379dc
2018-07-09T11-01-57	3e353035-1c39-4d79-9c4b-b7d0b071a10c
2018-07-09T17-02-26	182c78ee-3d58-4e69-8c81-d25c3b9379dc
2018-07-09T22-02-49	a8077f71-2dc7-4cef-b485-5c3ee5810eb0
2018-07-10T01-00-06	6b77e901-1462-4cbb-9352-84443680bdcd
2018-07-10T07-01-50	8ccaa9e1-f4ec-4c14-9722-fd0ca64868e7
2018-07-10T08-01-55	182c78ee-3d58-4e69-8c81-d25c3b9379dc
2018-07-10T10-02-05	3e353035-1c39-4d79-9c4b-b7d0b071a10c
2018-07-10T11-02-10	525f426b-35bc-4848-afc9-c3ae4dd2a505
2018-07-10T13-02-20	3e353035-1c39-4d79-9c4b-b7d0b071a10c
2018-07-10T19-02-49	04bfe6d6-41fd-4b5d-b88c-56f327671935
2018-07-10T23-00-08	a8077f71-2dc7-4cef-b485-5c3ee5810eb0
2018-07-11T01-01-50	53cc911c-d4ae-4c03-adac-523f0a8ea921
2018-07-11T05-02-09	a8077f71-2dc7-4cef-b485-5c3ee5810eb0
2018-07-11T06-02-14	e4eff7f5-c056-4126-9a38-746995810321
2018-07-11T07-02-19	8ccaa9e1-f4ec-4c14-9722-fd0ca64868e7
2018-07-11T08-02-24	e4eff7f5-c056-4126-9a38-746995810321
2018-07-11T10-02-42	182c78ee-3d58-4e69-8c81-d25c3b9379dc
2018-07-11T12-02-51	3e353035-1c39-4d79-9c4b-b7d0b071a10c
2018-07-11T18-00-20	04bfe6d6-41fd-4b5d-b88c-56f327671935
2018-07-11T21-00-47	e4eff7f5-c056-4126-9a38-746995810321
2018-07-11T23-00-57	a8077f71-2dc7-4cef-b485-5c3ee5810eb0
