id	date	pop_order	pop	method	channel1	channel2	gate1	gate2	position1	position2	scale	minpe
02461017-bc77-45c0-9fb6-df6eb06c3c23	2018-11-02T23:12:41+00:00	1	beads	manual	fsc_small	pe						
02461017-bc77-45c0-9fb6-df6eb06c3c23	2018-11-02T23:12:41+00:00	2	synecho	manual	fsc_small	pe						
02461017-bc77-45c0-9fb6-df6eb06c3c23	2018-11-02T23:12:41+00:00	3	croco	manual	fsc_small	pe						
02461017-bc77-45c0-9fb6-df6eb06c3c23	2018-11-02T23:12:41+00:00	4	prochloro	auto	fsc_small	chl_small	1.5	0.5	0	1	0.975	
02461017-bc77-45c0-9fb6-df6eb06c3c23	2018-11-02T23:12:41+00:00	5	picoeuk	manual	fsc_small	chl_small						
5f7c2fd0-2a22-44e6-8cad-11c851c604da	2020-01-28T20:36:33+00:00	1	beads	manual	fsc_small	pe						
5f7c2fd0-2a22-44e6-8cad-11c851c604da	2020-01-28T20:36:33+00:00	2	synecho	manual	fsc_small	pe						
5f7c2fd0-2a22-44e6-8cad-11c851c604da	2020-01-28T20:36:33+00:00	3	croco	manual	chl_small	pe						
5f7c2fd0-2a22-44e6-8cad-11c851c604da	2020-01-28T20:36:33+00:00	4	prochloro	auto	fsc_small	chl_small	1.5	0.5	0	1	0.975	
5f7c2fd0-2a22-44e6-8cad-11c851c604da	2020-01-28T20:36:33+00:00	5	picoeuk	manual	fsc_small	chl_small						
0832d881-1e03-4d77-adbf-f395e9bf5f28	2020-02-04T19:10:34+00:00	1	beads	manual	fsc_small	pe						
0832d881-1e03-4d77-adbf-f395e9bf5f28	2020-02-04T19:10:34+00:00	2	synecho	manual	fsc_small	pe						
0832d881-1e03-4d77-adbf-f395e9bf5f28	2020-02-04T19:10:34+00:00	3	croco	manual	pe	chl_small						
0832d881-1e03-4d77-adbf-f395e9bf5f28	2020-02-04T19:10:34+00:00	4	prochloro	auto	fsc_small	chl_small	1.5	0.5	0	1	0.975	
0832d881-1e03-4d77-adbf-f395e9bf5f28	2020-02-04T19:10:34+00:00	5	picoeuk	manual	fsc_small	chl_small						
