pop	fsc_small	fsc_perp	fsc_big	pe	chl_small	chl_big	point_order	gating_id
beads				437.4869432989087	24.144503258471243		1	17c18705-e651-4a87-8c2a-aadbf43a467e
beads				213.61687368175393	19.540204690018303		2	17c18705-e651-4a87-8c2a-aadbf43a467e
beads				145.8020147032532	29.94572453033284		3	17c18705-e651-4a87-8c2a-aadbf43a467e
beads				171.9447699851375	42.36839808059414		4	17c18705-e651-4a87-8c2a-aadbf43a467e
beads				240.2210619364381	73.64472732591199		5	17c18705-e651-4a87-8c2a-aadbf43a467e
beads				304.31075721443096	91.18954490404012		6	17c18705-e651-4a87-8c2a-aadbf43a467e
beads				547.8203129994213	114.47899790432344		7	17c18705-e651-4a87-8c2a-aadbf43a467e
beads				863.5830285662927	123.1508450393506		8	17c18705-e651-4a87-8c2a-aadbf43a467e
beads				1014.9021357140232	90.26920010186996		9	17c18705-e651-4a87-8c2a-aadbf43a467e
beads				979.3518850447572	51.86797911486206		10	17c18705-e651-4a87-8c2a-aadbf43a467e
croco				865.6786973925219	2243.3724145466017		1	17c18705-e651-4a87-8c2a-aadbf43a467e
croco				551.2672086962488	1010.6895131884789		2	17c18705-e651-4a87-8c2a-aadbf43a467e
croco				257.14724735510885	701.5977585461368		3	17c18705-e651-4a87-8c2a-aadbf43a467e
croco				186.85021948646988	817.6863797851577		4	17c18705-e651-4a87-8c2a-aadbf43a467e
croco				193.38563176297686	1299.8146432604142		5	17c18705-e651-4a87-8c2a-aadbf43a467e
croco				329.9404997827942	2633.80968373517		6	17c18705-e651-4a87-8c2a-aadbf43a467e
croco				594.9010270005273	3173.901837077297		7	17c18705-e651-4a87-8c2a-aadbf43a467e
picoeuk	3649.0123215695994				3968.643808506232		1	17c18705-e651-4a87-8c2a-aadbf43a467e
picoeuk	48.751265211888004				3933.291024132365		2	17c18705-e651-4a87-8c2a-aadbf43a467e
picoeuk	3.3749844822355093				150.642312276171		3	17c18705-e651-4a87-8c2a-aadbf43a467e
picoeuk	305.8141583674875				13.347639859381989		4	17c18705-e651-4a87-8c2a-aadbf43a467e
picoeuk	4057.596173402995				776.6396769317566		5	17c18705-e651-4a87-8c2a-aadbf43a467e
synecho	45.90290058110864			355.87543284462663			1	17c18705-e651-4a87-8c2a-aadbf43a467e
synecho	8.97605823917916			65.07303531828538			2	17c18705-e651-4a87-8c2a-aadbf43a467e
synecho	8.027616355223898			11.904384734292185			3	17c18705-e651-4a87-8c2a-aadbf43a467e
synecho	13.192074577286032			2.899730670338168			4	17c18705-e651-4a87-8c2a-aadbf43a467e
synecho	28.729471527004566			2.2127328914068833			5	17c18705-e651-4a87-8c2a-aadbf43a467e
synecho	58.96893986008921			2.0684916460743232			6	17c18705-e651-4a87-8c2a-aadbf43a467e
synecho	103.02735836912292			2.459222489912142			7	17c18705-e651-4a87-8c2a-aadbf43a467e
synecho	165.2010017552038			3.135982841730768			8	17c18705-e651-4a87-8c2a-aadbf43a467e
synecho	215.7136760529263			6.399957268352369			9	17c18705-e651-4a87-8c2a-aadbf43a467e
synecho	301.08323525048803			27.473879768471544			10	17c18705-e651-4a87-8c2a-aadbf43a467e
synecho	307.17816604341056			137.7281916881037			11	17c18705-e651-4a87-8c2a-aadbf43a467e
synecho	222.4593887626785			337.6649275368052			12	17c18705-e651-4a87-8c2a-aadbf43a467e
synecho	129.94146022535904			411.55438891386393			13	17c18705-e651-4a87-8c2a-aadbf43a467e
beads				1342.3192269196381	45.24667189612327		1	23338ceb-e99d-4418-8912-b6024f1ecc34
beads				351.00653286872983	17.276705914872267		2	23338ceb-e99d-4418-8912-b6024f1ecc34
beads				185.33695679052227	20.50464168284291		3	23338ceb-e99d-4418-8912-b6024f1ecc34
beads				178.59311151158388	31.769301328862614		4	23338ceb-e99d-4418-8912-b6024f1ecc34
beads				226.16821689873063	55.687389286229504		5	23338ceb-e99d-4418-8912-b6024f1ecc34
beads				315.2783524008362	98.10455946826144		6	23338ceb-e99d-4418-8912-b6024f1ecc34
beads				545.6333335234228	170.78104469654662		7	23338ceb-e99d-4418-8912-b6024f1ecc34
beads				1525.2520986363097	363.34398853730244		8	23338ceb-e99d-4418-8912-b6024f1ecc34
beads				2215.183685404604	557.1694504690704		9	23338ceb-e99d-4418-8912-b6024f1ecc34
beads				3264.6781557410186	613.491000761076		10	23338ceb-e99d-4418-8912-b6024f1ecc34
beads				4085.7219301179425	444.86584971178877		11	23338ceb-e99d-4418-8912-b6024f1ecc34
croco				441.4482605832854	988.5348370784902		1	23338ceb-e99d-4418-8912-b6024f1ecc34
croco				213.43140602593277	277.9150639664818		2	23338ceb-e99d-4418-8912-b6024f1ecc34
croco				93.13520167671288	167.1943800768112		3	23338ceb-e99d-4418-8912-b6024f1ecc34
croco				47.49471832402563	176.91420608813146		4	23338ceb-e99d-4418-8912-b6024f1ecc34
croco				38.855169149750836	307.4757550715341		5	23338ceb-e99d-4418-8912-b6024f1ecc34
